modelo,metodo,acuracia,precisao,recall,f1,auc
Decision Tree,kfold,0.6294,0.6305,0.6294,0.6237,
Decision Tree,split,0.6842,0.6912,0.6842,0.6869,0.6706
KNN,kfold,0.7017,0.6979,0.7017,0.6985,
KNN,split,0.6667,0.6635,0.6667,0.6649,0.7705
Random Forest,kfold,0.6854,0.6828,0.6854,0.6793,
Random Forest,split,0.7368,0.7314,0.7368,0.7320,0.7639
Naive Bayes,kfold,0.7385,0.7330,0.7385,0.7325,
Naive Bayes,split,0.7895,0.7910,0.7895,0.7800,0.8730
AdaBoost,kfold,0.7147,0.7125,0.7147,0.7084,
AdaBoost,split,0.7193,0.7144,0.7193,0.7003,0.7877
Logistic Regression,kfold,0.7546,0.7518,0.7546,0.7412,
Logistic Regression,split,0.7895,0.7998,0.7895,0.7752,0.8690
SVM,kfold,0.7359,0.7317,0.7359,0.7291,
SVM,split,0.8070,0.8077,0.8070,0.8002,0.8545
NN-1 (200 épocas),split,0.6316,0.3989,0.6316,0.4890,0.7288
NN-1 (400 épocas),split,0.7368,0.7516,0.7368,0.7076,0.8452
NN-1 (800 épocas),split,0.7719,0.7693,0.7719,0.7639,0.8492
NN-2 (200 épocas),split,0.7368,0.7395,0.7368,0.7156,0.8492
NN-2 (400 épocas),split,0.7895,0.7910,0.7895,0.7800,0.8532
NN-2 (800 épocas),split,0.7895,0.7910,0.7895,0.7800,0.8571
NN-3 (200 épocas),split,0.7719,0.7693,0.7719,0.7639,0.8532
NN-3 (400 épocas),split,0.7544,0.7495,0.7544,0.7479,0.8585
NN-3 (800 épocas),split,0.7544,0.7495,0.7544,0.7479,0.8611
